Blog	others	company	shows	done	took	play	behind	against	asked	site	several	thanks	finally	under	family	man	everyone	won	point	fun	media	possible	bit	google	start	trying	longer	instead	hard	set	less	game	night	often	line	team	giving	looks	someone	story	feel	number	bad	available	along	early	become	recently	important	far	told	information	short	internet	quite	place	isn	black	away	social	easy	power	anything	support	business	needs	coming	talk	including	season	released	future	please	probably	reading	com	second	almost	recent	photo	web	twitter	run	friends	house	four	music	tell	rather	personal	interesting	idea	space	reason	york	open	ways	pretty	seems	page	favorite	happy	true	problem	says	via	must	december	share	maybe	soon	announced	state	million	anyone	kind	seen	based	written	him	however	create	hand	whole	yes	book	five	deal	months	head	minutes	having	worth	public	makes	wanted	known	weeks	half	went	side	ask	care	service	fact	current	stuff	wrote	else	person	add	nothing	buy	came	facebook	order	following	takes	heard	american	project	america	hit	across	creating	taking	according	yesterday	popular	everything	aren	original	word	likely	above	experience	control	phone	meet	interview	earlier	wrong	group	special	running	system	self	able	report	nbsp	email	death	latest	couple	comments	step	call	single	school	level	large	wait	holiday	happen	features	city	john	talking	added	link	hope	goes	stop	art	decided	close	screen	attention	photos	morning	party	thinking	works	lead	whether	below	stories	fans	update	building	starting	entire	saw	version	ahead	links	process	write	data	paper	late	answer	front	gets	name	created	yourself	wasn	white	friend	amazon	ones	currently	article	similar	games	tuesday	wants	fast	hear	users	program	cool	learned	friday	completely	example	heart	third	pay	writing	turn	exactly	turned	seem	track	plan	planning	job	simple	mind	understand	government	lost	either	security	question	piece	sometimes	nice	children	hold	young	include	companies	red	november	women	pick	given	learn	tried	date	fan	move	perfect	couldn	view	believe	haven	gives	biggest	car	especially	mobile	face	national	launched	ready	questions	previous	save	although	posted	monday	problems	weekend	outside	enjoy	blue	hours	box	search	market	awesome	six	feature	law	style	food	term	series	books	leave	network	content	health	members	needed	wonderful	matter	store	note	points	release	movie	focus	main	guide	action	moment	user	opportunity	spent	rest	source	continue	christmas	image	mark	certain	digital	picture	age	woman	ten	sign	street	click	appears	brought	tools	taken	type	sort	provide	changes	remember	covered	happened	beyond	event	major	size	price	services	bring	success	etc	former	sound	itself	reports	moving	thousands	forward	form	chance	follow	device	choice	minute	turns	men	app	launch	movies	growing	history	beautiful	huge	amazing	product	playing	office	mean	expect	research	david	guess	knew	clear	later	cover	saying	copy	words	country	cut	smart	fight	north	complete	official	videos	interested	role	youtube	daily	per	design	access	hundreds	usually	themselves	science	goal	president	green	easily	university	published	apparently	sell	built	pages	local	paul	lots	terms	improve	among	simply	learning	addition	due	quickly	worked	myself	technology	center	immediately	readers	customers	whatever	press	amp	specific	dead	road	low	october	inside	sales	general	details	code	results	round	shared
Via Meadia	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deadspin	0	0	0	0	1	1	2	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	9	5	0	1	3	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	1	1	0	1	2	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	1	0	1	2	0	0	1	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	3	1	0	1	1	2	0	1	0	0	0	0	2	1	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	1	3	0	4	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	1	0	0	1	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
The Dish	0	2	0	0	1	1	0	1	0	1	2	0	1	2	2	1	2	0	0	1	0	0	0	4	1	0	2	1	2	0	2	0	0	0	0	2	1	1	0	0	0	0	2	0	0	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	1	2	1	1	0	1	2	0	1	1	1	0	2	0	0	2	1	2	0	3	0	0	0	0	2	3	1	1	2	0	0	2	1	3	2	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	2	0	2	0	1	1	0	0	1	0	2	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	2	0	1	1	2	2	1	0	1	2	0	0	1	0	0	1	3	1	0	0	0	0	1	2	1	0	1	1	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	1	1	0	2	1	0	0	0	0	0	0	3	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	1	2	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0
The Huffington Post | Wire Services Feed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
O'Reilly Radar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	6	0	1	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TUAW - The Unofficial Apple Weblog	1	14	9	3	3	4	7	1	0	5	4	3	4	2	2	2	2	1	3	0	2	6	8	1	5	3	0	5	6	14	4	6	5	5	6	2	2	4	3	4	13	15	0	23	4	2	1	0	3	2	2	9	4	2	1	8	4	6	5	5	7	4	0	9	4	3	1	0	8	2	6	8	41	7	15	2	4	3	1	14	9	7	4	7	0	6	11	3	8	2	4	2	1	3	0	7	2	3	3	1	5	2	1	1	3	11	3	23	10	0	8	2	1	4	2	0	0	9	0	2	6	5	3	4	2	1	7	1	6	4	3	5	2	7	10	1	2	2	3	1	2	0	1	3	4	7	1	1	3	1	3	4	6	0	3	11	2	4	1	0	1	9	2	2	1	1	6	1	3	2	5	1	1	4	5	7	8	11	2	1	6	0	1	3	8	6	0	7	1	240	44	0	6	2	41	1	6	1	2	0	3	0	11	1	15	1	1	1	2	2	0	1	3	0	2	2	14	2	8	0	6	0	6	0	6	4	4	1	9	2	3	7	0	21	1	0	1	2	25	0	5	0	2	0	1	0	1	2	6	0	2	1	3	2	2	9	4	3	4	2	23	4	3	1	3	1	4	1	8	2	0	3	1	1	3	3	4	0	3	4	1	0	3	2	2	2	0	1	2	2	1	3	0	7	0	2	7	0	2	1	1	3	3	1	3	12	1	4	0	0	5	0	3	1	5	6	0	1	0	1	2	7	2	1	0	1	1	5	3	2	3	3	6	8	1	3	7	1	3	2	1	2	2	2	7	9	0	1	2	1	0	25	5	8	9	0	0	2	2	7	0	10	2	3	0	42	0	3	9	1	2	8	1	0	3	0	7	2	5	2	1	2	3	3	0	5	2	5	1	3	0	2	9	4	13	1	1	0	0	0	4	5	1	6	1	0	1	2	1	28	0	2	1	0	91	1	1	1	0	5	1	3	11	0	2	0	2	0	0	0	0	0	2	22	1	1	7	4	0	2	0	8	5	3	2	2	0	1	16	5	7	4	1	3	0	0	0	0	1	6	0	0	0	2	6	1	2	0	1	40	4	0	8	1	1	2	8	1	0	2	0	6	2	4	2	3	13	5	2	2	0	3	3	1	2	1	0	0	0	6
CONFESSIONS OF A FAT GIRL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	0	0	14	0	1	10	1	0	1	4	0	10	0	0	1	0	0	2	0	1	0	0	0	123	0	0	2	1	2	0	1	4	0	1	1	0	2	0	1	0	0	1	0	2	1	0	2	0	2	0	0	2	6	3	1	0	2	0	2	0	0	0	0	3	0	0	0	0	1	1	2	0	1	2	0	6	0	0	1	0	1	0	0	2	0	0	2	4	0	0	4	0	3	0	0	8	0	2	0	18	1	3	0	0	3	4	0	1	1	3	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	0	5	0	0	1	0	0	0	3	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	2	0	2	4	1	2	0	0	1	3	2	0	0	1	0	3	0	0	0	1	2	8	0	1	2	0	1	1	0	0	0	0	4	2	5	1	4	0	1	0	0	5	0	0	0	0	0	2	2	0	0	0	1	0	5	0	0	1	0	0	5	0	0	0	0	5	1	4	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	2	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	3	1	0	0	0	2	0	0	1	0	2	0	1	1	3	0	2	1	0	1	0	2	0	0	0	1	2	0	1	1	1	0	2	4	0	0	0	2	0	0	0	1	0	6	24	0	0	0	1	0	0	0	0	0	1	1	0	4	2	0	0	0	0	3	0	0	0	2	2	1	3	0	0	0	0	0	0	0	2	3	4	1	1	0	0	0	0	0	0	0	18	0	1	0	0	2	0	0	3	0	0	0	0	2	0	8	0	3	0	0	0	0	1	0	0	2	0	1	0	0	1	2	0	0	0	0	5	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	4	0	0	0	2	0	0	0	1	0	1	0	2	1	0	0	10	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	1	0	1	0	1	0	0	2	5	1	0	0	0	10	1	0	0	0	0	0	0	0	0	0	2	10	0	0
Mashable	1	4	2	1	2	1	2	0	0	1	0	1	1	2	0	2	0	1	1	1	6	0	0	17	0	1	0	1	0	1	1	2	1	0	1	2	1	1	2	5	1	0	1	1	0	0	0	0	0	2	1	0	0	4	0	3	0	0	1	11	1	1	0	0	7	2	0	0	2	4	1	0	0	0	0	1	2	0	0	5	2	14	1	1	6	1	12	0	0	2	1	1	1	1	1	0	2	2	1	2	5	0	0	0	2	1	0	3	6	0	0	1	1	3	0	1	1	4	0	5	0	0	0	0	0	2	0	0	0	1	1	0	1	4	3	0	1	1	1	3	6	0	0	5	0	1	0	1	1	1	4	0	0	1	19	0	0	1	0	0	1	0	4	1	1	0	5	0	3	2	0	2	2	0	3	1	4	1	1	0	0	0	0	0	1	0	2	2	1	0	0	0	3	0	4	0	0	1	0	0	0	1	5	1	4	0	0	2	1	0	1	1	1	1	0	1	2	2	8	1	0	1	0	2	2	1	1	0	0	0	0	0	3	3	0	0	2	0	4	2	3	0	1	2	1	1	0	0	3	2	2	2	1	1	1	0	2	0	0	0	5	0	0	0	0	0	1	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	6	2	2	0	2	0	0	0	1	1	0	0	1	4	0	3	1	1	0	1	0	0	3	0	5	2	2	1	0	0	0	0	2	2	3	1	1	1	2	1	2	1	1	0	2	1	0	0	0	1	0	4	4	0	0	1	2	1	0	0	0	0	3	0	0	2	1	0	0	1	0	2	0	2	2	0	0	7	2	0	0	4	0	2	1	0	0	1	0	0	1	1	1	0	0	4	0	0	1	1	0	0	1	1	0	0	1	0	0	3	1	0	3	0	1	0	0	0	1	2	1	1	0	2	0	2	4	0	2	1	0	0	3	1	0	1	0	2	1	0	0	0	1	3	0	0	0	0	0	0	0	1	1	2	5	0	2	12	0	0	1	1	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	2	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0
over50feeling40	2	4	0	1	1	1	1	0	4	2	3	1	4	3	8	2	13	0	2	13	0	1	3	1	1	1	3	0	1	1	0	0	2	2	8	0	1	1	1	6	2	1	0	0	0	1	2	2	0	0	0	1	1	1	0	6	2	6	3	0	4	1	2	3	16	0	0	2	1	3	0	0	6	0	0	28	2	2	0	1	0	0	0	7	4	1	1	1	0	4	0	1	0	1	1	1	1	0	1	0	13	9	1	0	5	0	0	1	4	2	0	1	0	0	2	2	2	0	2	1	1	2	2	1	4	3	4	0	1	3	2	2	1	0	1	2	0	1	1	4	1	3	1	0	1	2	0	1	0	0	1	2	2	2	0	1	0	2	1	0	1	1	0	1	1	2	0	0	1	1	1	0	5	0	4	2	0	0	2	0	0	1	0	7	0	0	2	3	0	330	0	0	1	5	1	0	1	0	4	1	3	0	13	2	0	3	4	2	0	3	9	1	3	0	1	3	1	2	0	3	7	3	0	0	0	1	1	0	0	0	0	1	1	0	1	0	4	1	0	1	2	0	1	0	3	0	2	2	0	5	0	2	2	0	1	0	4	1	1	1	0	0	7	3	6	1	1	1	0	2	0	0	3	0	1	1	3	1	2	2	0	2	0	1	0	1	0	2	1	0	3	0	1	0	1	2	0	13	3	0	0	1	0	1	0	2	0	0	3	1	0	0	0	0	0	3	0	1	8	0	0	2	0	0	9	0	3	2	3	5	2	0	2	3	2	1	0	1	7	2	0	0	0	1	1	0	0	0	1	10	0	9	2	0	0	0	1	0	0	0	4	0	0	0	2	0	0	4	1	0	4	0	0	6	6	0	1	2	0	0	0	0	0	1	1	0	0	6	2	2	1	3	0	1	1	1	4	6	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	3	0	0	0	0	0	16	0	4	3	0	0	0	0	0	0	1	3	0	7	3	0	0	1	2	1	0	1	1	0	1	0	1	0	0	2	0	1	1	0	2	0	0	2	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	2	0	1	3	1	5	0	0	1	0	0	3	1	0	3	1	0	1	1	0	0	1
Gizmodo	1	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	1	0	0	3	0	1	2	4	0	0	1	1	0	2	0	1	1	0	0	1	2	0	1	0	0	0	1	2	2	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	0	1	1	0	0	1	1	5	0	0	0	1	0	0	1	1	0	1	4	0	0	0	0	0	1	1	1	100	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	2	0	2	0	0	0	0	1	2	0	1	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	2	0	2	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Michelle Malkin	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
